time,elev1,elev2,elev3,elev4
0,1,1,1,1
1,2,1,1,1
2,3,1,1,1
3,4,1,1,1
4,5,1,1,1
5,6,1,1,1
6,7,1,1,1
7,8,1,1,1
8,9,1,1,1
9,10,1,1,1
10,11,1,1,1
11,12,1,1,1
12,13,1,1,1
13,14,1,1,1
14,15,1,1,1
15,16,1,1,1
16,17,2,1,1
17,18,3,1,1
18,19,4,1,1
19,20,5,1,1
20,21,6,1,1
21,22,7,1,1
22,23,8,1,1
23,24,9,1,1
24,25,10,1,1
25,26,11,1,1
26,27,12,2,1
27,28,13,3,1
28,29,14,4,1
29,30,15,5,1
30,31,16,6,1
31,32,17,7,1
32,33,18,8,1
33,34,19,9,1
34,35,20,10,1
35,36,21,11,1
36,37,22,12,1
37,38,23,13,1
38,39,24,14,1
39,40,25,15,1
40,41,26,16,1
41,42,27,17,1
42,43,28,18,1
43,44,29,19,1
44,45,30,20,1
45,46,29,21,1
46,47,28,22,1
47,48,27,23,1
48,49,26,24,1
49,50,25,25,1
50,51,24,26,1
51,52,23,27,1
52,53,22,28,1
53,54,21,29,1
54,55,20,30,1
55,54,19,31,1
56,53,18,32,1
57,52,17,33,1
58,51,16,34,1
59,50,15,35,1
60,49,14,36,1
61,48,13,37,1
62,47,12,38,1
63,46,11,39,1
64,45,10,40,1
65,44,9,41,1
66,43,8,42,1
67,42,7,43,1
68,41,6,44,1
69,40,5,45,1
70,39,4,45,1
71,38,3,45,1
72,37,2,45,1
73,36,1,45,1
74,35,1,45,1
75,34,1,45,1
76,33,1,45,1
77,32,1,45,1
78,31,1,45,1
79,30,1,45,1
80,29,1,45,1
81,28,1,45,1
82,27,1,45,1
83,26,1,45,1
84,25,1,45,1
85,24,1,45,1
86,23,1,45,1
87,22,1,45,1
88,21,1,45,1
89,20,1,45,1
90,19,1,45,1
91,18,1,45,1
92,17,1,45,1
93,16,1,45,1
94,15,1,45,1
95,14,1,45,1
96,13,1,45,1
97,12,1,45,1
98,11,1,45,1
99,10,1,45,1
100,9,1,45,1
101,8,1,45,1
102,7,1,45,1
103,6,1,45,1
104,5,1,45,1
105,4,1,45,1
106,3,1,45,1
107,2,1,45,1
108,1,1,45,1
